query,gold_score,label_source,source
How do filibusters and other tactics impact the legislative process in the House of Commons?,4,claude,pool_v6
Why is it important to lift weights?,1,claude,pool_v6
"Here's a numerical problem for a math student to solve: Consider using the Advanced Encryption Standard (AES) with a 256-bit key to encrypt a message. If the message being encrypted is 128 bits in size, how many blocks will the message need to be divided into for encryption?",2,claude,pool_v6
Transform the given poem into a story,4,claude,pool_v6
Based on the following passage summarize the history of grape cultivation and use of raisins.,3,claude,pool_v6
How many total fingers do most humans have?,0,claude,pool_v6
Provide website redesign services to update a website's look and functionality or to correct issues with the original design.,2,claude,pool_v6
Provide a summary of the document,1,claude,pool_v6
Explain what kinds of benefits does AI have in the healthcare sector.,3,claude,pool_v6
Generate a novel sentence of 5 words,1,claude,pool_v6
"Can you recommend any books, films or documentaries that provide a good insight into Kilburn's history, culture or attractions?",3,claude,pool_v6
"Can you paraphrase some of Mozart's own words on music and the world, as compiled in Marshall's book?: Glover, Jane. Mozart’s Women: His Friends, His Family, His Music. New York : Harper Collins Publishers, 2005. Book. Kenyon, Nicholas. The Pegasus Pocket Guide to Mozart. New York: Pegasus Books LLC, 2006. Book. Landon, H.C. Robbins. The Mozart Compendium: A Guide to Mozart’s Life and Music. New York: Schirmer Books, 1990. Book. Marshall, Robert L. Mozart Speaks: Views on Music, Musicians, and the World. New York: Schirmer Books, 1991. Book. Rushton, Julian. The New Grove Guide to Mozart and His Operas. New York: Oxford University Press, 2007. Book. Sadie, Stanley. The New Grove Dictionary of Music and Musicians. 1986, New York. Book. Spaethling, Robert. Mozart’s Letters, Mozart’s Life. New York: W.W. Norton and Company, Inc., 2000. Book. Wright, Craig and Bryan Simms. Music in Western Civilization. Boston: Schirmer Cengage Learning, 2010. Book.",4,claude,pool_v6
"Given the text: We are seeking to appoint a highly committed and self-motivated Learning Support Assistant. The successful candidate will work under the guidance of the Class Teacher in our Junior Boys School to support children within the classroom. Experienced working with young people, in a classroom setting, ideally in a similar role and age range. Educated to a good standard: English and Maths GCSE A-C grade. Highly organised and have good IT skills. An enthusiastic team player, with the ability to adapt to a variety of situations. Applications must be received by 8:00am on Tuesday 23 April 2019. Please apply early as applications will be considered upon receipt; we reserve the right to interview/appoint prior to the closing date. Can you summarize the qualifications required for the Learning Support Assistant position?",2,claude,pool_v6
What are some ethical considerations in advertising and marketing?,3,claude,pool_v6
"Are there any specific conditions that might prevent someone from receiving chiropractic care, such as pregnancy or previous injuries?",4,claude,pool_v6
"John has a social media account and posts a selfie every day. On day 1, John had 100 followers, and every day thereafter, he gained 20% more followers than the previous day. a) How many followers does John have on day 5? b) If John's goal is to have 1000 followers by day 10, is this achievable? Hint: You may find it helpful to use the formula for compound interest.",4,claude,pool_v6
What are the advantages of writing computer programs in Python?,1,claude,pool_v6
"Given this plot summary from The Night Buffalo, what caused Manuel to discover these occurrences caused by his late friend?",2,claude,pool_v6
Design a delta-hedging simulation for an options market maker and derive the hedging error's dependence on rehedging frequency.,9,claude,pool_v6
Are there any taboos or restrictions related to forehead adornment or alteration?,3,claude,pool_v6
"What innovations in rocket technology did the United States and Soviet Union develop during the Space Race, and how did they shape the future of space exploration?",4,claude,pool_v6
Tell me about the football career of Adao,1,claude,pool_v6
Sea or Mountain,0,claude,pool_v6
Describe a tropical rainforest.,1,claude,pool_v6
"Wrapping the halibut with thin-cut potatoes adds crunch. Excellent with smoked pork loin, and foil wrapped sweet corn. Wrap these sweet potato patties in Spelt or Kamut Tortillas. Would you recommend any specific seasoning or sauce to go with the smoked pork loin and foil-wrapped sweet corn?",2,claude,pool_v6
"How did the character of The Mask originate, and what inspired its creation?",3,claude,pool_v6
What are the eligibility criteria for receiving welfare benefits in your state?,2,claude,pool_v6
Tell me about the most amazing trip an American could take.,2,claude,pool_v6
Were there any particular collaborative projects with other musicians or artists that had a significant impact on The Elected's music career?,3,claude,pool_v6
How does blockchain technology solve the problem of data tampering and manipulation?,4,claude,pool_v6
"Design a happens-before-based verification approach for detecting atomicity violations (not just data races) in a concurrent program, and explain how it differs from a plain race detector.",8,claude,pool_v6
How difficult is it to learn how to juggle?,1,claude,pool_v6
"From the passage provided, extract the alternative name of Lætitia Sadier.",1,claude,pool_v6
"Produce a set of ten original GIFs that are humorous and relatable to a diverse audience. The content should be inspired by everyday situations, and the style ought to be simple yet eye-catching. Each GIF should not exceed 5 seconds, and the file size must not surpass 1 MB.",7,claude,pool_v6
Explain the benefits of incorporating exercise into a busy work schedule.,3,claude,pool_v6
"You will be given a piece of text that describes an everyday event. Your task is to output whether or not the steps are in order based on commonsense. If they are out of order, re-order them and output the new set of steps in the correct order.",4,claude,pool_v6
Who is Robert Mitchum?,1,claude,pool_v6
How do hormones regulate glucose levels in the blood?,4,claude,pool_v6
"Let A = {1, 3, 5, 7} and B = {2, 3, 4, 6} be two non-empty sets. Verify whether (A ∆ B) ∩ B = B ∩ (B ∆ A) using the properties of symmetric difference and intersection.",5,claude,pool_v6
Has there been any impact on the agricultural sector in Almería due to the COVID-19 pandemic?,5,claude,pool_v6
Who received the maximum number of Oscar awards of all time?,1,claude,pool_v6
Identify the following part of speech: c h u r c h,1,claude,pool_v6
Write a descriptive passage about a particular moment of joy or contentment in your life.,2,claude,pool_v6
"Given a list of verbs, create a sentence that conveys understanding.",2,claude,pool_v6
How to make a dated home look modern?,3,claude,pool_v6
"What comes once in a minute, twice in a moment, but never in a thousand years?",2,claude,pool_v6
How does the sniper training of a marine differ from that of an army ranger?,4,claude,pool_v6
What makes an organization standout?,2,claude,pool_v6
How does the economic system in Cuba differ from those in the United States and other capitalist countries?,5,claude,pool_v6
Who was Paramahansa Yogananda?,1,claude,pool_v6
"Create a fast-paced political thriller set in the Middle East, where a seasoned spy infiltrates a terrorist group to prevent an imminent attack on a major city. Incorporate complex political alliances, high-stakes espionage, and unexpected plot twists to keep readers on the edge of their seats. Write in a style that builds tension and suspense through vivid descriptions, sharp dialogue, and non-stop action. Overall, create a thrilling narrative that explores themes of terrorism, nationalism, and the cost of war.",7,claude,pool_v6
Extract the species of coffee from the text. Separate them with a semi-colon,1,claude,pool_v6
"Explain how the quantum Fourier transform circuit achieves O(n^2) gate complexity versus the classical FFT's O(n log n), and why this asymmetry still yields exponential speedup for period-finding.",9,claude,pool_v6
Identify and describe the cultural aspects of Japan.,3,claude,pool_v6
Explain the process of photosynthesis and its importance for plants.,3,claude,pool_v6
"Based on the table below, calculate the student's average grade in the 4 subjects. Show your steps to reach the final answer.",2,claude,pool_v6
"Could you help me with technical issues I am experiencing on TWEN and direct me to the appropriate support line?: OnePass (Username and Password) Questions - Check the Password FAQ or call our 24/7 Support at 1-800-934-9378 and select the Password option. Westlaw Research Questions and Issues - Please call our Support at 1-800-850-WEST (9378) and select Research Assistance. TWEN Technical Questions and Issues - Check the TWEN FAQ or call our 24/7 support line at 1-800-486-4876. TWEN Feedback and Suggestions - Please e-mail TLR.TWENNPD@thomsonreuters.com Please Note: we will normally respond to emails within 24-48 hours, excluding weekends and holidays. Training Tools - E-mail support@trainingtoolsmail.com. Westlaw Sales - Contact a Westlaw sales rep to get sales assistance with Westlaw or other Thomson Reuters products by completing the contact sales form. School-Specific Resources - Find your Academic Account Manager or Westlaw Student Representatives (you will need to sign-in). You can also find out about helpful trainings being offered at your school. FAQ - For answers to frequently asked questions, click here.",2,claude,pool_v6
What is a Husky?,1,claude,pool_v6
What is Lisp?,1,claude,pool_v6
When was Tomoaki Komorida born?,1,claude,pool_v6
"Classify each of the following as either a quantitative major or qualitative major: English, mathematics, physics, statistics, history, law",2,claude,pool_v6
Design a variant-calling pipeline's local realignment step around indels and explain why it reduces false-positive SNP calls near insertion/deletion boundaries.,8,claude,pool_v6
Create a survey about customer satisfaction with a given product.,3,claude,pool_v6
Construct a query to return the top 10 brands of cars in 2020,2,claude,pool_v6
Why is Captain America Steve Rogers the leader of the Avengers?,2,claude,pool_v6
List five essential gardening tools and briefly describe their uses.,2,claude,pool_v6
What are some recommended exercises for improving mental clarity and focus?,2,claude,pool_v6
Make up a story involving a fictional protagonist named Lydia,3,claude,pool_v6
What is the VSEPR geometry of a molecule of carbon dioxide (CO2)?,2,claude,pool_v6
"How does the insulin signaling pathway regulate carbohydrate metabolism in liver cells, and what role do enzymes such as hexokinase and glycogen synthase play in this process?",6,claude,pool_v6
"Take on the role of an overworked college student named Sam, at the end of their rope. Complain to your roommate about the pressure.",2,claude,pool_v6
Can you provide information on the nutritional value of bracken for the wildlife that rely on it?,4,claude,pool_v6
Rewrite the following sentence so it uses fewer words.,1,claude,pool_v6
"Rewrite this sentence in a positive way: ""I cannot do it"".",1,claude,pool_v6
Design a cache-coherence protocol (MESI) state-transition diagram and explain how it handles a simultaneous read and write request to the same cache line from two different cores.,8,claude,pool_v6
How many castles are located in Scotland and which ones are the most popular to visit?,2,claude,pool_v6
For what is known as Transphonologization?,3,claude,pool_v6
"Using a summarizing tool, rewrite the text in one sentence.",2,claude,pool_v6
Describe the properties of natural gas.,2,claude,pool_v6
"Classify each of the following animals as being domesticated or wild: dog, bear, dolphin, cat, cow, hippo, rhino",1,claude,pool_v6
"Identify which car manufacturer is German or American: Jeep, Alpina",1,claude,pool_v6
Name one resource that AI cannot replicate due to the current technological limitations. Output one word.,1,claude,pool_v6
Name three famous European landmarks,1,claude,pool_v6
How do you bake a perfect chocolate cake from scratch?,3,claude,pool_v6
"The Emile Short Commission of Inquiry has recommended the dissolution of the SWAT team at the National Security Council Secretariat. Other members of the commission were Mrs Henrietta Mensah Bonsu, legal luminary and jurist, and Mr Patrick K. Acheampong, former Inspector General of Police. Mr Ernest Kofi Abotsi, former Dean of the Faculty of Law, GIMPA and a private legal practitioner, served as Secretary to the Commission. The terms of reference of the Commission according to the statement that announced its formation were; to make a full, faithful and impartial inquiry into the circumstances of, and establish the facts leading to, the events and associated violence during the Ayawaso West Wuogon by-election on the 31st day of January 2019; to identify any person responsible for or who has been involved in the events, associated violence and injuries; to inquire into any matter which the Commission considers incidental or reasonably related to the causes of the events and the associated violence and injuries; and to submit within one month its report to the President giving reasons for its findings and recommendations, including appropriate sanctions, if any. Who were the members of the Emile Short Commission of Inquiry, and what were its terms of reference?",3,claude,pool_v6
"You will be given a piece of text which contains at least one adverb. Your job is to underline the adverb(s) in the text, and then write out what kind of adverb it is. The types of adverbs you need to consider are: manner, place, time, degree, frequency.",4,claude,pool_v6
Name a key challenge of warehousing in the current market.,2,claude,pool_v6
Compare and contrast primary and secondary research.,3,claude,pool_v6
"A car travels from point A to point B, a distance of 120 km, in 2 hours. What is the average speed of the car between these two points? Using the Mean Value Theorem, show that at some point during the journey, the car must have been traveling at exactly 60 km/h.",5,claude,pool_v6
"Write a sentence using the words “laudable”, “enthusiastic” and “endeavour”",1,claude,pool_v6
Can you provide examples of specific rituals or ceremonies performed in honor of Liber within the Roman state cults?,5,claude,pool_v6
Which movies are currently playing at the nearest movie theater?,1,claude,pool_v6
What medicine is inside of an EpiPen?,1,claude,pool_v6
"Design a CUDA kernel launch configuration selector that picks grid and block dimensions based on a target occupancy, and explain the trade-offs versus a fixed configuration.",8,claude,pool_v6
Generate the following given password for the user.,1,claude,pool_v6
What do political scientists mean when they refer to “home-style”?,4,claude,pool_v6
What is the length of the Koch snowflake curve after three iterations if the initial segment has a length of 1 unit?,4,claude,pool_v6
Could you provide any academic research that links high usage of technology in classrooms with a decline in academic performance?,5,claude,pool_v6
"Write a summary of the article: ""How Technology is Changing the Shopping Experience"".",3,claude,pool_v6
Write the following pseudocode in python,3,claude,pool_v6
Write C++ code to convert a given Fahrenheit temperature degree to Celsius.,2,claude,pool_v6
Compose a poem in the haiku format with 5-7-5 syllables,2,claude,pool_v6
Convert 4 inches to centimeters.,0,claude,pool_v6
How has Martina Navratilova's activism evolved throughout her career and what new causes has she taken on?,5,claude,pool_v6
Which company built the F-22 Raptor?,1,claude,pool_v6
How does nitrogen cycle occur in the environment?,3,claude,pool_v6
Name one possible consequence of this issue.,1,claude,pool_v6
Generate a story about a family who adopts a pet.,2,claude,pool_v6
Name two popular tourist spots in India.,1,claude,pool_v6
What is the importance of ultraviolet radiation in our environment?,3,claude,pool_v6
Implement a shell script to find the total number of lines that contain the word 'ERROR' in all log files present in the current directory.,2,claude,pool_v6
what is the capital of China?,0,claude,pool_v6
List 2 strengths and weaknesses of Python as a programming language,2,claude,pool_v6
Replace the <mask> in the following sentence with the most appropriate synonym.,1,claude,pool_v6
"Think this out, step by step, and reorder these steps to summarize the best way to invest in stocks for a beginner.",4,claude,pool_v6
"Calculate the average of the following numbers: 14, 17, 21, 25",0,claude,pool_v6
Share a story about a time when you had to confront a difficult situation.,2,claude,pool_v6
Design a certificate-pinning strategy for a mobile app that avoids breaking connectivity during a legitimate CA key rotation.,7,claude,pool_v6
Tell me what a well-structured essay should contain.,2,claude,pool_v6
"Find all elements with the class ""box"" in the given html section, and remove them. Output the entire html section without the class ""box"" boxes.",3,claude,pool_v6
What are the benefits and drawbacks of using cloud-based project management tools for team collaboration?,3,claude,pool_v6
"Given these paragraphs about the Tesla bot, what kind of tasks is it expected to perform?",3,claude,pool_v6
"Explain how the quantum phase estimation algorithm extracts an eigenvalue's phase to precision 2^-n using n ancilla qubits, and derive the circuit's success probability.",9,claude,pool_v6
How is a neural network different from a regular computer program?,3,claude,pool_v6
"How do eosinophils defend the body against parasitic infections, and what specific mechanisms do they use to detect and eliminate these parasites?",5,claude,pool_v6
Can you discuss the relationship between natural resource extraction and economic development in Brazil?,5,claude,pool_v6
"Build a Kotlin app with a button that triggers a sound when pressed. The button should have a customized appearance and should be positioned in the center of the screen. The sound that plays when the button is pressed should be a high-quality audio file, and should be accompanied by a visual effect, such as an animation or a change in the button's color. The app should also include a feature that allows the user to adjust the volume of the sound.",6,claude,pool_v6
"Tell me whether those countries are in Europe or America: England, United states, France, Spain, Canada, Italy, Colombia, Peru",1,claude,pool_v6
List some of the best life changing self-help books,1,claude,pool_v6
"Here is a piece of text: He was born May 20, 1918, in Uhrichsville, Ohio, the only child of the late Charles and Elizabeth (Ripley) Morton. A drummer from childhood, he appeared with name bands from the 1930s and '40s, most notably the Jack Fina Orchestra. During World War II, he served in the US Army Air Corp band stationed in Fort Myers, Fla. He founded Paul Morton Jewelers of Bethel in 1951. In 1952, he brought his family from Hartsdale, N.Y. to make their home in Bethel. In 1974, he and his son Timothy opened the New Milford jewelry store. A member of St. Mary Parish since 1951, he served on the Parish Council and as an usher. He was also a member of the Bethel Chamber of Commerce, the Lion's Club, and the American Legion. He is survived by three sons, Timothy and his wife Nicki of Gaylordsville, Kevin and his wife Jill of Bethel, and Patrick and his wife Susan of Bethel; three daughters, Deborah Morton Pavlinsky and her husband F. Richard of Danbury, Kathleen Keough and her husband Raymond of Brookfield, and Mary Ann Dalena and her husband Jeffrey of Plainville; nine grandchildren, Joseph, Rosemary and Matthew, Erin and Ryan and Sam, Ben, Peter and Megan. A Mass of Christian Burial will be celebrated at St. Mary's Church in Bethel, today (Friday) at 11:30 a.m. Memorials may be made to the Bethel Volunteer Fire Department, 38 South St., Bethel, CT 06804. Based on the text material above, generate the response to the following quesion or instruction: Who are the surviving family members of Paul Morton and where do they currently reside?",3,claude,pool_v6
"What is the most prevalent fungal infection in humans, and what are the common symptoms, diagnosis and treatment options for this infection?",4,claude,pool_v6
"Identify the key characters of the novel ""The Hobbit"".",2,claude,pool_v6
"Can you provide a summary of how automation is changing the payroll industry? Answer according to: “By taking away much of the admin-intensive functions, automation is giving people more time to review the data at their disposal and develop solutions for customers accordingly. When it comes to payroll, this value can be derived by empowering staff to develop more skills for a digital-friendly environment,” he says. “We live in a time where specialised payroll consultants can add immense value to any business. Their understanding (and likely innovation) of how technology is impacting these processes can fundamentally change how a business approaches this mission-critical function,” McAlister concludes.",3,claude,pool_v6
"Could you discuss some of the major human rights issues facing Central and Eastern Europe today, and what efforts are being made to address them?",6,claude,pool_v6
Write a biography of Bill Gates,4,claude,pool_v6
Why are people eating eggs at Easter,2,claude,pool_v6
In what ways is the fashion industry impacted by sustainable practices?,4,claude,pool_v6
Find out the first Prime Minister of India. Output the name directly.,0,claude,pool_v6
Design a distributed rolling-upgrade coordinator for a stateful cluster that enforces a minimum quorum of upgraded-compatible nodes before proceeding to the next batch.,8,claude,pool_v6
"Based on the following paragraph on drinking water, is there a risk of drinking too much water during exercising?",3,claude,pool_v6
"Can you help me generate three unique subject lines for an email promoting our new health product? The email will be sent to our subscribers who have shown interest in health supplements. Please provide your suggestions in [HTML format], [JavaScript code], and [PHP code]. Thank you!",4,claude,pool_v6
How would you use a paragraph of text to explain what a stock market index is?,3,claude,pool_v6
Office of War Information?,1,claude,pool_v6
Describe a social media strategy for increasing engagement,4,claude,pool_v6
What is another name for downhill skiing?,0,claude,pool_v6
Enumerate three specific utensils or appliances commonly used for preparing and serving food that can typically be found in a designated area within an educational institution designated for communal consumption.,2,claude,pool_v6
Is Ireland a good surf spot?,1,claude,pool_v6
Extract the names of the cities and rank them in alphabetical order?,2,claude,pool_v6
Prove the spectral theorem for real symmetric matrices and explain its role in PCA's optimality for variance maximization.,9,claude,pool_v6
"Explain how mixture-of-experts models complicate inference-time load balancing across GPUs, and design an expert-parallel serving strategy that avoids hotspotting on popular experts.",9,claude,pool_v6
Analyze the results of the following test scores.,3,claude,pool_v6
Identify a possible cause of an AI algorithm not performing as well as expected.,3,claude,pool_v6
Identify two methods of preventing reinforcement learning that come with significant risks and disadvantages.,4,claude,pool_v6
How can I create a cozy reading nook in a small space?,2,claude,pool_v6
Compose a piece of music that represents the feeling of guilt,4,claude,pool_v6
Robin Williams dressed in drag for which 1993 film,1,claude,pool_v6
Were there warning signs leading up to Hurricane Katrina that indicated the levees may fail and why were these warnings not heeded?,5,claude,pool_v6
What is the difference between oxfords and derbys?,2,claude,pool_v6
Write a compile time error regarding the given code.,3,claude,pool_v6
"Create a visually appealing event brochure that includes all necessary information such as event schedule, keynote speakers, workshops, and location details. Make sure the brochure is informative and easy to read. Once completed, distribute the brochure to all attendees in a timely manner prior to the event.",5,claude,pool_v6
Rewrite the following passage in a more condensed form.,3,claude,pool_v6
Describe the capital of Mexico.,1,claude,pool_v6
"How can I use JavaScript code to classify the type of clothing based on its description? For example, given the description ""A sleeveless top with a V-neck collar,"" how can I determine that it is a type of top? One approach could be to use a function that takes in the description as a string and uses regular expressions to identify key features, such as sleeveless, V-neck, and top. Here is an example function: function classifyClothing(description) { if (/sleeveless/i.test(description) && /v-neck/i.test(description) && /top/i.test(description)) { return ""sleeveless V-neck top""; } else { return ""unknown""; } } This function checks if the description contains the words ""sleeveless,"" ""V-neck,"" and ""top,"" and if so, returns the string ""sleeveless V-neck top."" Otherwise, it returns ""unknown."" Of course, this is a very basic example and would need to be expanded for more complex descriptions and different types of clothing.",4,claude,pool_v6
"Identify which animal species is alive or extinct: Cape Lion, Javan Rhino",1,claude,pool_v6
Write a five-sentence passage about a particular character.,2,claude,pool_v6
Identify whether the statements are facts or opinions.,3,claude,pool_v6
What are some different types of natural disasters?,1,claude,pool_v6
"Design a KV-cache-aware request-routing layer for a multi-replica LLM-serving cluster that routes a request to the replica already holding its longest cached prefix, and analyze the routing-versus-load trade-off.",9,claude,pool_v6
What is the best electrical system for RVs?,3,claude,pool_v6
Describe how weather forecasting models are built.,4,claude,pool_v6
"Given this paragraph, how much control of the world's cocaine market did the Cali Cartel have at its peak?",3,claude,pool_v6
Find a way to reduce the poverty rate in India.,6,claude,pool_v6
What is VCF?,1,claude,pool_v6
Write a descriptive paragraph about a landscape you find calming.,2,claude,pool_v6
Name a recent space mission which is actively collecting scientific data.,2,claude,pool_v6
You are provided with two paragraphs. Count the number of adjectives in the second paragraph.,3,claude,pool_v6
Can you explain the bubble sort algorithm?,2,claude,pool_v6
Generate a list of possible causes for the following phenomenon.,3,claude,pool_v6
Rewrite the sentence to include an adverb.,1,claude,pool_v6
"Given a list of sports, determine the rules for each game.",4,claude,pool_v6
"You are a devoted conservative named Richard, an accountant in his 50s who believes strongly in traditional values and supports limited government intervention. You are a frequent participant in online discussions regarding politics and society.\nChat History:\nSarah: I think the government should provide more support for single mothers.\nTim: I agree. It's tough for them to raise a child without help.\nRichard: That'll just increase dependency on the government. We need to focus on teaching people to be more responsible.\nMatthew: But what about those who genuinely need assistance?\nRichard: There's a difference between providing temporary assistance and fostering long-term dependence.",4,claude,pool_v6
Write a marketing slogan of fewer than 10 words,1,claude,pool_v6
"Add a requirement that the short story must include at least one subplot that involves a mystical creature or supernatural event that impacts the character's journey. The creature or event must be described in detail and have a significant impact on the character's growth and experiences. Use headings, bullet points, and descriptive language to organize the story and bring the creature or event to life. Ensure that the conclusion reflects on how the mystical subplot impacted the character's overall journey and perspective on the world.",7,claude,pool_v6
Construct a ten line poem about the Sun.,3,claude,pool_v6
"Which of the following historical figures are known for their contribution to music: Mozart, George Washington, Vincent Van Gogh, Golda Meir, and Billy Holiday?",1,claude,pool_v6
Create a tweet about the latest trend in the tech industry.,1,claude,pool_v6
Extract the name and year of release from all albums released by the band Radiohead. List in the format {name} - {year} in a semicolon list.,2,claude,pool_v6
Find a creative way to promote a business.,2,claude,pool_v6
"Read the passage below and answer the question or follow the instruction: How does the Hex team ensure that their events are safe and inclusive spaces for all attendees? Passage: The next Hex is Friday, Dec. 21 — the winter solstice — at The Mothlight. The evening will feature DJ Malinali, DJ Lex and DJ Audio, and benefits the Carolina Abortion Fund. The team also decides on the beneficiaries of the funds raised, choosing from organizations based in Western North Carolina that work with threatened or marginalized populations. Past beneficiaries have included Compañeros Inmigrantes de las Montañas en Acción, Southside Gardens, Tranzmission Prison Project, WNC Sanctuary, Girls Rock Asheville Camp and Steady Collective. She continues, “Some of the ways we try to make it as safe of a space as possible is being really explicit about that online. We make a lot of posts on Instagram about how we have a zero-tolerance policy, and how anyone can approach us for anything at any time. If something comes up, we are very comfortable asking people to leave.” There’s also a sign posted right inside the door of the venue where Hex is held that lists everything not tolerated: “No racism, no sexism, no homophobia, no transphobia, etc.,” Evan says. Cheers to this group and the work that they do. Can I just go on record as saying that adults who speak this way, and the media that quote them literally, are actively destroying whatever beauty our language ever held?",3,claude,pool_v6
"Explain how Renyi differential privacy provides tighter composition bounds than standard (epsilon, delta)-DP, and derive the conversion formula between the two definitions.",9,claude,pool_v6
"How have different forms of dance, such as tap and breakdancing, evolved and blended with one another to create new styles and techniques?",5,claude,pool_v6
What are the major producing regions of figs around the world today?,2,claude,pool_v6
"Which one of these do not belong to the group: Tomato, Carrot, Ginger, Potato, Turmeric",2,claude,pool_v6
Identify the English speaking countries,1,claude,pool_v6
"What additional regex pattern can be added to the Ruby code in #The Given Prompt# to retrieve the full name of the person referred to as ""He"" in the given statement, who holds the occupation of engineering?",5,claude,pool_v6
"Write a 14-line sonnet with an ABAB CDCD EFEF GG rhyme scheme that explores the theme of travel and adventure. Consider incorporating descriptive language and sensory details to transport the reader to different places around the world. You may also want to touch on the emotions associated with travel, whether it be excitement, joy, fear, or something else entirely. Feel free to draw on personal experiences or research different cultures and destinations for inspiration.",6,claude,pool_v6
"Is the lining of YUKON ankle boots removable for cleaning purposes?: When wearing Stuart Weitzman’s ankle boots, you can be sure to get noticed! YUKON is crafted from gorgeous tan suede and lined with sheepskin, ensuring maximum warmth during the winter months. Lace up closure with gold eyelets gives these ankle boots an exquisite finish.",2,claude,pool_v6
Take an existing text and delete any redundant or irrelevant phrases that might clutter the structure of the text.,3,claude,pool_v6
Design a persistent-kernel GPU architecture for a streaming workload that avoids kernel-launch overhead for many small sequential operations.,9,claude,pool_v6
How has the Catholic Church adapted Pope Leo XIII's thinking on the importance of fair labor practices to modern economic realities?,6,claude,pool_v6
Give me a summary of the Naked Brothers Band.,2,claude,pool_v6
Develop a plan for a theater production that explores the theme of loneliness.,5,claude,pool_v6
"Given the text: Wall size frame. Elaborate design is delicately laser cut from wood. Frame measures 1 1/4"" h x 1 1/2"" w. Included in the kit are all laser cut wooden pieces,and complete instructions. You can paint or stain this piece as shown here. Are there any additional materials required to complete the painting or staining process?",2,claude,pool_v6
What is a mulligan in Magic the Gathering?,1,claude,pool_v6
Please give me an example of this phenomenon that I can understand as a layman.,2,claude,pool_v6
Suggest one word that would make the following sentence sound more natural.,1,claude,pool_v6
What is the Gun Show in New Zealand,2,claude,pool_v6
What is the impact of hurricanes and other natural disasters on the country's infrastructure and way of life?,5,claude,pool_v6
Generate an example of the application of data mining techniques in marketing.,2,claude,pool_v6
"Identify which car manufacturer is French or American: Alpine, Cadillac",1,claude,pool_v6
Create a marketing plan for reaching a young adult demographic,4,claude,pool_v6
"Design a step-indexed logical-relations model for proving type soundness of a language with general recursive types, and explain why step-indexing is necessary to avoid a circularity in the definition.",10,claude,pool_v6
Identify a hidden pattern in the following series of numbers,3,claude,pool_v6
Explain how a neural radiance field's hierarchical volume-sampling strategy (coarse-to-fine) reduces the number of network evaluations needed per ray without missing high-frequency scene detail.,8,claude,pool_v6
Write a humorous one-liner about the advantages of having a dog.,1,claude,pool_v6
Create a comma separated list of all countries mentioned in this paragraph on the history of test cricket,2,claude,pool_v6
"Identify which instrument is string or percussion: Bendir, Rabel",2,claude,pool_v6
Create a book of inspirational quotes and stories that encourage readers to live their best lives.,6,claude,pool_v6
Link the items below to their corresponding categories.,2,claude,pool_v6
"Explain how QUIC's stream-level flow control operates independently from connection-level flow control, and describe a scenario where a single stalled stream would block others under HTTP/2 but not under QUIC.",7,claude,pool_v6
Tell me the capital of Switzerland. Output a single word answer.,0,claude,pool_v6
"Generate response to the question/instruction based on a piece of given material Question/Instruction: Who is the ""Godfather"" of Nubian music? Given material: Global beats and roots music from every corner of the world - including 'Psychebelly Dance Music' from Turkish band Baba Zula; the ""Godfather"" of Nubian music, Ali Hassan Kuban; the latest sounds from Kinshasa; and a traditional Italian song by Canzoniere Grecanico Salentino. CANTI DI TERRA D’OTRANTO E DELLA. Pura Vida Sounds / Heavenly Sweetness. Ruhani Oyun Havaları - Psychebelly Dance Music. Noró (Algunhas Músicas Do Norte).",1,claude,pool_v6
To what extent do you think the script or storyline impacts audience engagement during live theatrical performances?,4,claude,pool_v6
"How can I protect my personal information online, and what are some common scams to watch out for?",3,claude,pool_v6
"Tell me whether these are mental disorders or types of cancer: Anxiety, schizophrenia, lymphoma, oropharyngeal, post-traumatic stress, neurodevelopmental, kidney",2,claude,pool_v6
Write a speech to the graduating class about how their hard work will pay off.,4,claude,pool_v6
A cone has a base radius of 7 cm and a height of 12 cm. What is the volume of the cone?,1,claude,pool_v6
"How has automation impacted the job market, and what are the implications of this trend for our economy as a whole?",5,claude,pool_v6
How does the method of fungal spore dispersal affect the likelihood of successful germination in different environments?,5,claude,pool_v6
"Explain how an ancestral-sequence-reconstruction algorithm infers internal-node sequences on a phylogenetic tree using maximum likelihood, and identify the assumptions that make it consistent.",8,claude,pool_v6
Create an analogy that compares a plant to a person growing up,2,claude,pool_v6
Name a type of flower often used in bouquets.,0,claude,pool_v6
Can you discuss any critical reception or recognition An Angle has received for their visual art?,4,claude,pool_v6
"2. Grind your beans according to your desired brewing method. For a French press, grind the beans to a coarse consistency, for drip coffee makers use a medium grind, and for espresso machines use a fine grind.",1,claude,pool_v6
"Find the Fourier transform of the function f(x) = 3cos(2x) + 4sin(3x) over the interval [-π, π].",3,claude,pool_v6
What is a traditional IRA or 401k?,2,claude,pool_v6
What role has ARIA played in addressing issues of diversity and inclusivity in the Australian music industry?,5,claude,pool_v6
Examine the impact of lead exposure on human health.,4,claude,pool_v6
Create a new use for an older phone,2,claude,pool_v6
"Can you speak to any changes or developments in Grand Rapids within the last decade, and how they affect the city's character and identity?",5,claude,pool_v6
Why there is no infant rice cereal in the market now?,3,claude,pool_v6
"What chemical reaction occurs during the decomposition of potassium chlorate, and what are the products formed?",3,claude,pool_v6
